id_transaccion,tipo_movimiento,fecha_emision,tipo_comprobante,punto_venta,numero_comprobante,emisor,cuit_emisor,ingresos_brutos_emisor,receptor,cuit_receptor,concepto,monto_neto,iva,monto_total,condicion_iva_emisor,condicion_venta
TX-0001,ingreso,27/06/2026,Factura A,1,5506,ZIRA SA,30-71111111-4,901-123456-7,Norte Insumos SRL,30-70222222-5,Servicio de consultoria mensual,133498.3,28034.64,161532.94,IVA Responsable Inscripto,Contado
TX-0002,ingreso,13/03/2026,Factura A,1,2679,ZIRA SA,30-71111111-4,901-123456-7,Delta Logistica SA,30-70333333-6,Venta de mercaderia - lote A,154653.45,32477.22,187130.67,IVA Responsable Inscripto,Contado
TX-0003,ingreso,15/06/2026,Factura A,1,1488,ZIRA SA,30-71111111-4,901-123456-7,Manantial Servicios SRL,30-70444444-7,Honorarios por desarrollo de software,366441.36,76952.69,443394.05,IVA Responsable Inscripto,Contado
TX-0004,ingreso,11/03/2026,Factura A,1,1434,ZIRA SA,30-71111111-4,901-123456-7,Vertice Comercial SA,30-70555555-8,Servicio de mantenimiento tecnico,224495.67,47144.09,271639.76,IVA Responsable Inscripto,Contado
TX-0005,ingreso,17/07/2026,Factura A,1,9928,ZIRA SA,30-71111111-4,901-123456-7,Horizonte Distribuciones SRL,30-70666666-9,Alquiler de equipamiento,537413.33,112856.8,650270.13,IVA Responsable Inscripto,Cuenta Corriente
TX-0006,ingreso,12/03/2026,Factura A,1,5557,ZIRA SA,30-71111111-4,901-123456-7,Pampa Soluciones SA,30-70777777-0,Venta de mercaderia - lote B,386906.78,81250.42,468157.2,IVA Responsable Inscripto,Contado
TX-0007,ingreso,28/07/2026,Factura A,1,7924,ZIRA SA,30-71111111-4,901-123456-7,Austral Provisiones SRL,30-70888888-1,Servicio de capacitacion corporativa,654364.44,137416.53,791780.97,IVA Responsable Inscripto,Cuenta Corriente
TX-0008,ingreso,27/03/2026,Factura A,1,6514,ZIRA SA,30-71111111-4,901-123456-7,Norte Insumos SRL,30-70222222-5,Comision por intermediacion comercial,166609.62,34988.02,201597.64,IVA Responsable Inscripto,Contado
TX-0009,ingreso,07/02/2026,Factura A,1,6881,ZIRA SA,30-71111111-4,901-123456-7,Delta Logistica SA,30-70333333-6,Servicio de soporte tecnico anual,334945.48,70338.55,405284.03,IVA Responsable Inscripto,Cuenta Corriente
TX-0010,ingreso,18/06/2026,Factura A,1,1711,ZIRA SA,30-71111111-4,901-123456-7,Manantial Servicios SRL,30-70444444-7,Venta de licencias de software,248390.65,52162.04,300552.69,IVA Responsable Inscripto,Cuenta Corriente
TX-0011,egreso,01/06/2026,Factura A,7,2291,Norte Insumos SRL,30-70222222-5,909-407419-9,ZIRA SA,30-71111111-4,Compra de insumos de oficina,88668.3,18620.34,107288.64,IVA Responsable Inscripto,Cuenta Corriente
TX-0012,egreso,11/06/2026,Factura A,2,1750,Delta Logistica SA,30-70333333-6,904-910620-4,ZIRA SA,30-71111111-4,Pago de servicios de logistica,120375.64,25278.88,145654.52,IVA Responsable Inscripto,Contado
TX-0013,egreso,15/03/2026,Factura A,7,5554,Manantial Servicios SRL,30-70444444-7,908-766563-5,ZIRA SA,30-71111111-4,Compra de materia prima,437247.32,91821.94,529069.26,IVA Responsable Inscripto,Contado
TX-0014,egreso,19/04/2026,Factura A,5,2169,Vertice Comercial SA,30-70555555-8,903-660086-3,ZIRA SA,30-71111111-4,Pago de servicios profesionales,196977.23,41365.22,238342.45,IVA Responsable Inscripto,Contado
TX-0015,egreso,13/05/2026,Factura A,9,4598,Horizonte Distribuciones SRL,30-70666666-9,906-983794-0,ZIRA SA,30-71111111-4,Compra de equipamiento informatico,208344.06,43752.25,252096.31,IVA Responsable Inscripto,Contado
TX-0016,egreso,23/01/2026,Factura A,7,5386,Pampa Soluciones SA,30-70777777-0,902-321231-9,ZIRA SA,30-71111111-4,Pago de fletes y transporte,408371.53,85758.02,494129.55,IVA Responsable Inscripto,Cuenta Corriente
TX-0017,egreso,10/03/2026,Factura A,7,8517,Austral Provisiones SRL,30-70888888-1,903-377746-2,ZIRA SA,30-71111111-4,Compra de mercaderia para reventa,338056.17,70991.8,409047.97,IVA Responsable Inscripto,Contado
TX-0018,egreso,03/06/2026,Factura A,7,2291,Norte Insumos SRL,30-70222222-5,909-407419-9,ZIRA SA,30-71111111-4,Compra de insumos de oficina,88668.3,18620.34,107288.64,IVA Responsable Inscripto,Cuenta Corriente
TX-0019,egreso,15/07/2026,Factura A,3,8842,Delta Logistica SA,30-70333333-6,904-910620-4,ZIRA SA,30-71111111-4,Pago de servicios de logistica,200000.0,12000.0,212000.0,IVA Responsable Inscripto,Contado
TX-0020,egreso,20/07/2026,Factura A,5,3391,Vertice Comercial SA,30-70555555-8,901-000000-1,ZIRA SA,30-71111111-4,Pago de servicios profesionales,150000.0,31500.0,199000.0,IVA Responsable Inscripto,Contado
